asr0105	1.95	1.86	1.21
alr0106	1.57	1.79	1.80
all0107	0.86	0.87	1.09
asl0108	0.90	1.14	1.19
all0109	0.77	0.97	1.38
alr0110	1.42	1.32	1.33
all0111	1.49	1.25	1.82
all0112	1.92	1.96	1.48
alr0113	1.59	1.97	1.18
alr0114	1.45	3.05	1.35
alr0115	2.04	4.12	1.57
alr0116	1.77	2.72	1.35
alr0117	6.10	4.48	0.00
all0118	1.53	1.51	1.64
all0119	0.00	1.40	0.00
all0120	1.26	1.24	1.21
all0121	1.50	1.33	1.42
all0122	1.38	1.65	1.24
all0123	2.29	0.00	2.20
alr0124	3.09	2.81	1.37
asl0125	1.18	1.49	1.40
all0126	0.65	0.43	1.19
all0127	0.00	0.84	0.00
alr0128	0.89	0.82	0.98
all0129	1.49	1.48	0.92
alr0130	2.87	1.96	1.28
all0131	0.00	0.00	0.00
alr0132	2.54	2.64	2.19
all0133	2.04	2.10	1.93
all0134	1.39	1.38	0.00
all0135	0.00	0.00	0.00
all0136	1.13	1.67	1.85
asl0137	0.89	0.80	0.71
all0138	0.00	0.00	0.00
all0139	1.84	2.66	1.88
alr0140	1.68	1.96	2.16
alr0141	1.80	2.45	1.83
alr0142	1.75	2.05	2.04
all0143	0.00	2.37	0.00
all0144	1.59	1.80	0.00
alr0145	2.09	3.87	0.00
asl0146	-0.17	1.13	1.73
all0147	0.88	1.19	1.33
asr0148	2.09	2.50	1.42
alr0149	0.00	2.37	2.65
alr0150	1.35	2.15	1.83
asl0151	0.97	1.25	1.36
all0152	0.83	0.85	1.79
alr0153	2.51	1.62	0.00
all0154	1.72	1.83	1.90
all0155	1.27	1.40	1.38
all0156	1.45	1.44	0.67
all0157	0.00	1.35	1.72
all0158	0.00	0.00	0.00
alr0159	1.98	1.49	1.68
all0160	1.47	1.31	1.74
all0161	1.77	2.16	0.00
alr0162	1.20	1.19	0.00
asl0163	0.00	0.00	0.00
all0164	0.38	0.37	0.52
alr0165	0.00	2.26	0.00
all0166	1.39	1.25	1.13
all0167	1.54	0.00	1.94
all0168	1.48	1.86	0.00
alr0169	1.09	1.35	1.29
all0170	1.80	1.87	2.31
asl0171	0.00	2.88	0.00
all0172	2.06	1.93	1.38
all0173	1.77	1.60	1.33
all0174	1.37	1.86	1.32
alr0175	2.05	1.64	2.61
asl0176	0.00	1.40	0.00
all0177	0.00	0.00	7.61
all0178	0.00	0.00	0.00
asr0179	1.11	1.59	1.91
alr0180	1.50	1.47	1.51
alr0181	1.60	2.14	1.33
all0182	1.75	1.56	1.99
all0184	1.94	2.55	2.53
all0185	1.97	2.66	0.00
all0186	3.37	4.11	1.87
all0187	2.37	3.18	1.46
alr0188	1.66	1.05	6.51
alr0189	1.85	1.84	1.35
alr0190	0.00	2.79	1.97
alr0191	0.00	2.97	2.23
all0192	0.00	0.00	0.00
all0193	0.00	0.00	0.00
alr0194	0.00	2.81	0.00
all0195	0.00	0.00	0.00
alr0196	2.90	3.88	1.57
all0197	1.97	1.97	1.61
alr0198	0.42	0.30	0.54
alr0199	0.57	1.06	0.41
all0200	0.00	3.11	0.00
alr0201	3.77	0.00	0.00
alr0202	0.00	0.00	0.00
alr0203	0.98	0.69	0.00
asl0204	0.00	0.98	0.00
alr0205	1.72	2.12	2.41
asl0206	1.60	1.22	2.89
all0207	0.00	0.00	0.00
alr0208	1.60	1.66	1.47
all0209	1.88	2.51	1.59
all0210	1.98	1.93	1.17
all0211	1.43	0.00	0.00
alr0212	1.06	1.28	1.20
alr0213	1.22	1.06	1.43
alr0214	0.89	0.89	0.96
all0215	1.45	1.41	1.35
all0216	1.06	0.87	0.80
all0217	1.28	1.47	2.76
all0218	1.09	1.20	1.99
all0219	0.00	2.68	0.00
all0220	0.00	0.00	0.00
