ssl1255	1.10	0.86	0.94	0.92
ssl1046	0.58	0.93	0.96	0.97
ssl1045	0.57	0.72	0.91	0.81
ssl1004	1.10	1.07	0.98	0.82
ssl0832	0.72	1.00	0.88	0.75
ssl0788	1.11	1.01	0.74	0.96
ssl0787	0.78	1.08	0.93	1.08
ssl0750	0.86	0.95	0.85	0.67
ssl0738	0.78	1.22	0.74	0.61
ssl0707	0.73	0.90	0.68	0.79
ssl0601	1.11	1.31	0.93	0.89
ssl0564	1.03	1.14	1.29	1.23
ssl0563	0.56	0.67	0.40	0.47
ssl0546	0.96	0.99	1.01	0.96
ssl0543	1.08	1.16	0.91	1.12
ssl0511	0.74	0.91	0.81	0.74
ssl0483	0.36	0.40	0.70	0.90
ssl0467	0.98	1.00	0.95	0.79
ssl0461	0.97	0.92	1.99	0.48
ssl0453	2.34	1.33	0.80	0.76
ssl0452	3.70	2.11	1.18	0.58
ssl0438	1.56	1.29	1.22	0.82
ssl0426	1.21	1.36	1.29	0.80
ssl0410	2.12	1.35	0.98	0.90
ssl0353	0.60	0.61	0.61	0.99
ssl0352	0.98	0.93	0.85	0.66
ssl0350	0.70	0.95	0.93	0.86
ssl0331	1.04	0.90	0.77	0.77
ssl0312	1.21	1.33	0.96	1.14
ssl0294	0.82	1.18	0.93	0.74
ssl0259	0.74	0.86	1.03	0.98
ssl0242	1.15	1.43	1.35	1.54
ssl0020	1.03	1.50	1.64	1.46
smr0011	1.20	1.80	1.67	1.42
smr0010	0.79	0.89	0.89	0.78
smr0009	0.98	1.06	0.83	0.96
smr0008	1.10	0.84	0.98	0.94
smr0007	0.80	0.85	0.88	0.87
smr0006	0.96	0.97	1.04	1.08
smr0005	0.87	1.02	0.94	0.77
smr0004	0.56	0.90	0.80	0.73
smr0003	0.94	1.04	0.90	0.84
smr0001	0.92	0.92	0.59	0.73
sml0008	0.19	0.24	0.24	0.49
sml0007	1.04	1.10	1.19	1.63
sml0006	0.83	2.12	1.68	2.16
sml0005	1.23	1.29	1.00	1.08
sml0004	1.00	1.05	0.87	0.86
sml0003	0.94	1.00	0.76	0.62
sml0002	2.22	1.27	0.94	1.07
sml0001	0.74	1.02	0.70	0.76
slr2144	0.87	1.44	1.74	1.16
slr2143	1.04	1.56	1.73	1.47
slr2141	0.88	1.41	1.74	1.41
slr2136	1.06	1.09	1.73	1.47
slr2135	0.98	0.95	0.95	1.19
slr2132	1.00	1.37	1.59	0.84
slr2131	2.11	1.94	1.87	0.77
slr2130	1.40	1.37	0.94	1.26
slr2128	1.09	0.89	0.83	0.84
slr2127	1.62	1.38	1.74	0.91
slr2126	1.28	1.12	0.96	0.97
slr2125	0.95	1.71	1.69	0.98
slr2124	1.07	1.08	0.81	0.98
slr2123	0.97	1.94	1.91	1.07
slr2122	1.09	1.26	1.13	1.36
